,name,league,games_home,wins_home,draws_home,losses_home,goals_for_home,goals_against_home,goal_diff_home,points_home,points_avg_home,games_away,wins_away,draws_away,losses_away,goals_for_away,goals_against_away,goal_diff_away,points_away,points_avg_away,top_team_scorers,top_keeper
2,Leicester City,Premier League,15,9,3,3,30,15,+15,30,2.00,23.2,18.3,+4.9,+0.32,14,7,2,5,5,Jamie Vardy - 19,Kasper Schmeichel
3,Chelsea,Premier League,15,7,3,5,22,15,+7,24,1.60,29.2,9.8,+19.4,+1.29,14,7,3,4,4,Tammy Abraham - 13,Kepa Arrizabalaga
4,Manchester Utd,Premier League,15,8,5,2,29,12,+17,29,1.93,24.1,11.5,+12.6,+0.84,14,4,4,6,6,Marcus Rashford - 14,David de Gea
5,Wolves,Premier League,15,5,7,3,21,17,+4,22,1.47,20.4,14.1,+6.3,+0.42,14,5,6,3,3,Raúl Jiménez - 13,Rui Patrício
6,Sheffield Utd,Premier League,15,7,3,5,17,13,+4,24,1.60,22.0,16.5,+5.6,+0.37,13,4,7,2,2,"John Fleck, Lys Mousset - 5",Dean Henderson
7,Tottenham,Premier League,14,8,2,4,27,15,+12,26,1.86,19.8,18.0,+1.7,+0.12,15,3,6,6,6,Harry Kane - 11,Paulo Gazzaniga
8,Arsenal,Premier League,15,7,5,3,26,20,+6,26,1.73,21.1,23.0,-1.9,-0.12,13,2,8,3,3,Pierre-Emerick Aubameyang - 17,Bernd Leno
9,Burnley,Premier League,15,7,2,6,20,19,+1,23,1.53,20.9,17.0,+3.9,+0.26,14,4,4,6,6,Chris Wood - 11,Nick Pope
10,Crystal Palace,Premier League,15,6,4,5,12,13,-1,22,1.47,14.4,15.3,-0.9,-0.06,14,4,5,5,5,Jordan Ayew - 8,Vicente Guaita
11,Everton,Premier League,14,7,4,3,19,15,+4,25,1.79,21.4,16.0,+5.4,+0.39,15,3,3,9,9,Dominic Calvert-Lewin - 13,Jordan Pickford
12,Newcastle Utd,Premier League,14,5,6,3,12,12,0,21,1.50,13.6,23.2,-9.6,-0.69,15,4,2,9,9,Jonjo Shelvey - 5,Martin Dúbravka
13,Southampton,Premier League,15,4,2,9,16,31,-15,14,0.93,18.2,21.1,-2.9,-0.19,14,6,2,6,6,Danny Ings - 15,Alex McCarthy
14,Brighton,Premier League,14,4,6,4,17,15,+2,18,1.29,16.0,15.1,+0.9,+0.07,15,2,5,8,8,Neal Maupay - 8,Mathew Ryan
15,West Ham,Premier League,14,4,3,7,23,26,-3,15,1.07,17.6,24.0,-6.5,-0.46,15,3,3,9,9,Sébastien Haller - 7,Łukasz Fabiański
16,Watford,Premier League,14,4,5,5,16,17,-1,17,1.21,21.5,19.8,+1.8,+0.13,15,2,4,9,9,Troy Deeney - 6,Ben Foster
17,Bournemouth,Premier League,14,4,5,5,17,21,-4,17,1.21,16.4,19.6,-3.2,-0.23,15,3,1,11,11,Callum Wilson - 8,Aaron Ramsdale
18,Aston Villa,Premier League,13,5,2,6,18,24,-6,17,1.31,16.4,24.4,-8.1,-0.62,15,2,2,11,11,Jack Grealish - 7,Tom Heaton
19,Norwich City,Premier League,14,4,3,7,19,26,-7,15,1.07,18.4,24.7,-6.3,-0.45,15,1,3,11,11,Teemu Pukki - 11,Tim Krul
