,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
102,Harry Charsley\Harry-Charsley,ie IRL,MF,Mansfield Town,22,1996,9,7,565,0,1,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
103,Taylor Charters\Taylor-Charters,eng ENG,MF,Carlisle United,,,7,0,65,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Benjamin Chrisene\Benjamin-Chrisene,eng ENG,MF,Exeter City,15,2004,1,0,,0,0,0,0,0,0,,,,,,Matches
105,Ousseynou Cissé\Ousseynou-Cisse,ml MLI,MF,Leyton Orient,28,1991,10,9,786,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
106,Ryan Clampin\Ryan-Clampin,eng ENG,DF,Colchester Utd,20,1999,13,13,1132,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
107,Mitchell Clark\Mitchell-Clark,wal WAL,DF,Port Vale,20,1999,4,4,356,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
108,Billy Clarke\Billy-Clarke,ie IRL,FW,Plymouth Argyle,31,1987,9,2,258,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Billy Clarke\Billy-Clarke,ie IRL,FWMF,Grimsby Town,31,1987,13,10,900,2,4,1,1,3,0,0.20,0.40,0.60,0.10,0.50,Matches
110,Eddie Clarke\Eddie-Clarke,eng ENG,MF,Macclesfield,20,1998,6,5,415,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,James Clarke\James-Clarke,eng ENG,DF,Walsall,29,1989,27,27,2385,3,0,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches
112,James Clarke\James-Clarke,ie IRL,DF,Mansfield Town,19,2000,12,6,658,0,2,0,0,3,0,0.00,0.27,0.27,0.00,0.27,Matches
113,Jordan Clarke\Jordan-Clarke,eng ENG,DF,Scunthorpe Utd,27,1991,12,11,930,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Craig Clay\Craig-Clay,eng ENG,MF,Leyton Orient,27,1992,35,30,2707,0,3,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches
